Judge,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
RuPaul Charles,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main
Santino Rice,Main,Main,Main,Main,Main,Main,Guest,,,,,,,,,,,
Merle Ginsberg,Main,Main,,,,,Guest,,,,,,,,,,,
Billy B,,,Main,Main,,,,,,,,,,,,,,
Michelle Visage,,,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main
Ross Mathews,,,,Guest,,,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main
Carson Kressley,,,,,,,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main
Ts Madison,,,,,,,,,,,,,Guest,Guest,Main,Main,Main,Main
Law Roach,,,,,,,,,,,,,,,,Guest,Main,Main
